Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2017-09-26,Lunch,620.0,36.0,15.0,0.0,0.0,0.0,495.0,1860.0,0.0,37.0,2.0,4.0,38.0,0.0,0.0,0.0,0.0,
2017-09-26,Dinner,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2017-09-27,Breakfast,64.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2017-09-27,Lunch,1490.0,80.0,19.0,0.0,0.0,0.0,120.0,2430.0,675.0,148.0,7.0,57.0,47.0,50.0,35.0,27.0,26.0,
2017-09-27,Snacks,380.0,18.0,6.8,1.8,0.8,0.0,60.0,480.0,90.0,49.0,1.0,28.5,5.0,3.0,1.0,4.0,7.5,
2017-09-28,Breakfast,830.0,36.5,12.0,0.0,0.0,0.0,255.0,1420.0,0.0,94.0,4.0,28.0,30.0,22.0,25.0,47.0,26.0,
2017-09-28,Lunch,580.0,18.0,2.5,5.5,7.0,0.0,0.0,370.0,95.0,89.0,6.0,16.0,20.0,0.0,0.0,6.0,22.0,
2017-09-28,Dinner,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8,0.0,0.0,8.6,0.0,0.0,0.0,0.0,
2017-09-29,Breakfast,370.0,17.0,2.5,5.5,7.0,0.0,0.0,370.0,95.0,47.0,4.0,14.0,13.0,0.0,0.0,6.0,12.0,
2017-09-29,Lunch,845.0,10.4,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,
2017-09-29,Dinner,250.0,5.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0,
2017-09-29,Snacks,469.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,10.5,60.4,3.0,33.0,4.4,0.0,0.0,1.5,3.0,
2017-09-30,Breakfast,280.0,30.0,0.0,0.0,0.0,0.0,0.0,1240.0,0.0,52.0,10.0,14.0,12.0,40.0,16.0,8.0,16.0,
2017-09-30,Lunch,1140.0,50.0,18.0,0.0,0.0,0.5,120.0,3430.0,0.0,120.0,4.0,14.0,58.0,16.0,12.0,40.0,20.0,
2017-09-30,Dinner,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,4.4,0.0,0.0,0.0,0.0,
2017-09-30,Snacks,448.0,20.0,14.7,0.0,0.0,0.0,20.0,179.0,0.0,61.8,4.0,33.3,5.0,4.0,0.0,1.0,30.0,
2017-10-01,Breakfast,437.1,19.0,9.5,2.5,5.1,0.0,5.0,447.5,0.0,54.0,6.0,16.5,11.5,0.0,0.0,6.0,9.0,
2017-10-01,Lunch,620.0,14.0,2.0,8.0,3.0,0.0,70.0,520.0,0.0,92.0,2.0,0.0,28.0,0.0,0.0,0.0,16.0,
2017-10-01,Dinner,1959.0,65.5,9.0,3.0,9.0,0.0,35.0,2365.0,225.0,247.0,15.0,49.0,102.0,77.0,32.0,171.0,159.0,
2017-10-01,Snacks,768.0,2.3,1.0,0.3,0.8,0.0,0.0,400.0,697.5,82.1,2.5,20.0,27.1,5.0,0.0,67.5,4.0,
2017-10-02,Breakfast,780.0,5.8,2.0,0.3,0.8,0.0,10.0,240.0,17.5,57.5,5.5,32.0,5.5,7.0,130.0,32.5,11.0,
2017-10-04,Breakfast,450.0,17.3,5.3,2.6,4.8,0.0,25.0,577.5,17.5,54.5,7.5,25.5,20.5,9.0,0.0,42.5,2.0,
2017-10-04,Dinner,1172.0,36.4,4.8,11.2,14.5,0.0,45.5,2038.0,680.0,149.4,10.8,18.5,34.8,33.0,23.0,56.0,118.8,
2017-10-04,Snacks,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,
2017-10-05,Breakfast,490.0,23.5,3.5,6.0,12.5,0.0,0.0,665.0,170.0,59.0,5.0,17.0,13.0,30.0,20.0,50.0,96.0,
2017-10-05,Dinner,1350.0,75.0,31.0,0.0,0.0,0.0,255.0,1775.0,25.0,113.0,10.0,38.0,59.0,270.0,112.0,80.0,38.0,
2017-10-05,Snacks,216.0,5.0,3.5,0.0,0.0,0.0,20.0,70.0,285.0,36.0,3.0,31.0,8.0,20.0,18.0,20.0,1.0,
2017-10-06,Breakfast,657.1,26.7,17.3,0.5,2.2,0.0,54.3,736.3,92.4,76.0,7.0,25.0,29.3,15.2,1.9,43.7,9.1,
2017-10-06,Lunch,516.0,36.0,6.0,0.0,0.0,0.0,45.0,0.0,285.0,37.0,9.0,17.0,14.0,372.0,36.0,30.0,13.0,
2017-10-06,Dinner,620.0,34.0,18.0,0.0,0.0,0.0,150.0,1160.0,0.0,46.0,4.0,4.0,34.0,20.0,0.0,40.0,20.0,
2017-10-06,Snacks,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2017-10-07,Breakfast,417.1,17.5,12.2,0.2,0.6,0.0,25.0,445.0,0.0,51.0,6.0,25.0,16.0,4.0,0.0,20.0,0.0,
2017-10-07,Lunch,555.0,12.2,0.0,0.0,0.0,0.0,10.0,123.0,0.0,96.6,0.0,0.0,22.4,0.0,0.0,0.0,0.0,
2017-10-07,Dinner,690.0,36.0,16.0,0.0,0.0,1.5,310.0,1820.0,360.0,45.0,2.0,15.0,43.0,6.0,20.0,8.0,20.0,
2017-10-07,Snacks,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,74.0,6.0,70.0,4.0,24.0,36.0,0.0,2.0,
2017-10-08,Breakfast,920.6,46.1,36.0,0.8,2.6,0.0,37.8,900.0,146.4,102.6,10.0,32.9,25.2,11.7,0.3,43.4,16.3,
2017-10-08,Lunch,350.0,3.0,1.5,0.0,0.0,0.0,10.0,335.0,0.0,65.0,2.0,39.0,16.0,10.0,0.0,34.0,8.0,
2017-10-08,Dinner,410.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,78.0,18.0,2.0,14.0,0.0,0.0,4.0,20.0,
